laborious field scorings	laborious field scorings	scorings
lack of markers	lack of marker	lack
lack of reproducibility	lack of reproducibility	lack
lack Yr1	lack Yr1	Yr1
'Lalbahadur	'Lalbahadur	'Lalbahadur
landraces of Triticum aestivum L.	landrace of Triticum_aestivum_L.	landrace
Langdon durum BAC library	Langdon durum BAC library	library
large amounts of EST sequence information	large amount of EST sequence information	amount
large breeding program	large breed program	program
large part	large part	part
large portion	large portion	portion
large range of variation	large range of variation	range
larger F	large F	F
larger PIC reduction	large PIC reduction	reduction
larger stretches	large stretch	stretch
larvae	larva	larva
last decade	last decade	decade
late 1980s	late 1980s	1980s
Late direct selection	late direct selection	selection
latent period	latent period	period
later generations	late generation	generation
late selection	late selection	selection
latter	latter	latter
LDN	LDN	LDN
lead	lead	lead
leaf rust disease	leaf rust disease	disease
leaf rust infections	leaf rust infection	infection
Leaf rust	leaf rust	rust
Leaf rust	Leaf rust	rust
leaf rust races	leaf rust race	race
leaf rust resistance gene Lr19	leaf rust resistance gene Lr19	Lr19
Leaf rust resistance gene Lr28	Leaf rust resistance gene Lr28	Lr28
leaf rust resistance genes Lr19	leaf rust resistance gene Lr19	Lr19
leaf rust resistance genes Lr24	leaf rust resistance gene Lr24	Lr24
leaf rust resistance genes Lr9	leaf rust resistance gene Lr9	Lr9
leaf rust resistance trait	leaf rust resistance trait	trait
leaf rust resistance viz.	leaf rust resistance viz.	viz.
leaf rust resistant BC1F3 progenies	leaf rust resistant BC1F3 progeny	progeny
Leaf rust resistant derivatives	Leaf rust resistant derivative	derivative
leaf rust resistant gene	leaf rust resistant gene	gene
leaf rust resistant parent 'HW 2046'	leaf rust resistant parent 'HW 2046'	2046'
leaf rust resistant plants	leaf rust resistant plants	plants
leaf rust resistant wheat genotype	leaf rust resistant wheat genotype	genotype
leaf rust response	leaf rust response	response
leaf tip necrosis	leaf tip necrosis	necrosis
leaves of young seedlings	leave of young seedling	leave
length genomic DNA sequence of a Psy gene	length genomic DNA sequence of a Psy gene	sequence
Leonard Joppa	Leonard Joppa	Joppa
lesser extent leaf rust resistance	lesser extent leaf rust resistance	resistance
lesser extent	lesser extent	extent
leucine	leucine	leucine
level of introgression	level of introgression	level
level of resistance	level of resistance	level
level of TaGSK1 gene expression	level of TaGSK1 gene expression	level
levels of FHB resistance	level of FHB resistance	level
lfl	lfl	lfl
light	light	light
likely scenario	likely scenario	scenario
limited back	limited back	back
limited development	limited development	development
limited number of cultivars	limited number of cultivar	number
limited polymorphism	limited polymorphism	polymorphism
linear DNA	linear DNA	DNA
line cultivars	line cultivar	cultivar
lines exhibited high level of PHST	line exhibit high level of PHST	level
Lines	line	line
lines of historical prominence	line of historical prominence	line
Line TC	Line TC	TC
linkage analysis	linkage analysis	analysis
Linkage analysis	linkage analysis	analysis
Linkage groups	Linkage group	group
linkage mapping	linkage mapping	mapping
linkage maps	linkage map	map
Linkage maps of wheat stripe rust resistance genes Yr5	linkage map of wheat stripe rust resistance gene Yr5	map
Linkage Maps of Wheat Stripe Rust Resistance Genes Yr5	linkage map of Wheat Stripe Rust Resistance Gene Yr5	map
linked genes Yr9	link gene Yr9	Yr9
linked immunosorbent assay	link immunosorbent assay	assay
linked markers	link marker	marker
linked molecular marker csLV34	link molecular marker csLV34	csLV34
linked QTL	link QTL	QTL
linked RAPD marker of Rkn	link RAPD marker of Rkn	marker
linked SCAR markers	link SCAR marker	marker
linked SSR markers	link SSR marker	marker
literature	literature	literature
little impact	little impact	impact
LMW glutenin genes	LMW glutenin gene	gene
LMW	LMW	LMW
loaf volume	loaf volume	volume
local cultivar collection	local cultivar collection	collection
location field	location field	field
location of associated gene(s)	location of associated gene(s)	location
location of genes introduction	location of gene introduction	location
locations	location	location
locus Glu	locus Glu	Glu
locus wmc41 showed association	locus wmc41 show association	association
locus Xksud14	locus Xksud14	Xksud14
long arm	long arm	arm
long arm of chromosome 4A	long arm of chromosome 4A	arm
long arm of chromosome 5B of ph1b	long arm of chromosome 5B of ph1b	5B
long arm of chromosome 7E of Th	long arm of chromosome 7E of th	arm
long arm of chromosome	long arm of chromosome	arm
long arm of group 1 chromosomes	long arm of group 1 chromosome	arm
long arm of wheat chromosome 7D	long arm of wheat chromosome 7D	arm
long arm of wheat chromosome I B. A gene	long arm of wheat chromosome I B._A gene	arm
longer spike	long spike	spike
long incubation period	long incubation period	period
loose groupings	loose grouping	grouping
looser linkage	loose linkage	linkage
loose smut susceptible alien substitution lines Cadet	loose smut susceptible alien substitution line Cadet	Cadet
losses	loss	loss
low bread	low bread	bread
low cost	low cost	cost
low DON concentrations	low Don concentration	concentration
low efficiency	low efficiency	efficiency
lower AUDPC values of Lr34 positive lines	low AUDPC value of Lr34 positive line	value
lower diversity of this genome	low diversity of this genome	diversity
lower proportion of infected individuals	low proportion of infected individual	proportion
lower protein content	low protein content	content
lower relative metabolic activity	low relative metabolic activity	activity
lower similarities	low similarity	similarity
low GPC cultivars	low GPC cultivar	cultivar
low grain protein content trait	low grain protein content trait	trait
low GW	low GW	GW
low heritability	low heritability	heritability
low level	low level	level
Low	low	low
low minor allele frequencies	low minor allele frequency	frequency
low molecular weight glutenin genes	low molecular weight glutenin gene	gene
low molecular weight subunits	low molecular weight subunits	subunits
low PPO activity	low PPO activity	activity
low quantity	low quantity	quantity
low virus titers of BYDVPAV	low virus titer of BYDVPAV	titer
low YP content	low YP content	content
'LP235	'LP235	'LP235
l PCR reaction	l PCR reaction	reaction
LP	LP	LP
Lr13	Lr13	Lr13
Lr1_98F primer	Lr1_98F primer	primer
Lr1 gene	Lr1 gene	gene
Lr21 locus	Lr21 locus	locus
Lr21	Lr21	Lr21
Lr24 lines	Lr24 line	line
Lr24 resistance genes	Lr24 resistance gene	gene
Lr25	Lr25	Lr25
Lr26	Lr26	Lr26
Lr28 gene	Lr28 gene	gene
Lr28 resistance gene	Lr28 resistance gene	gene
Lr29	Lr29	Lr29
Lr29 resistant gene	Lr29 resistant gene	gene
Lr32	Lr32	Lr32
Lr34 gene	Lr34 gene	gene
Lr34	Lr34	Lr34
Lr34 resistance genes	Lr34 resistance gene	gene
Lr35 gene	Lr35 gene	gene
Lr35 genes	Lr35 gene	gene
Lr35 resistance gene	Lr35 resistance gene	gene
Lr35 rust resistance genes	Lr35 rust resistance gene	gene
Lr37 gene	Lr37 gene	gene
Lr37	Lr37	Lr37
Lr39	Lr39	Lr39
Lr40	Lr40	Lr40
Lr47	Lr47	Lr47
Lr48 locus	Lr48 locus	locus
Lr9 gene	Lr9 gene	gene
Lr9 locus	Lr9 locus	locus
Lr9 marker	Lr9 marker	marker
Lrk10	Lrk10	Lrk10
LRR2	LRR2	LRR2
LRR	LRR	LRR
LrTr	LrTr	LrTr
LTN	LTN	LTN
Ltp1 embryo	Ltp1 embryo	embryo
luciferase	luciferase	luciferase
Ludhiana	Ludhiana	Ludhiana
luminometry	luminometry	luminometry
luxAB	luxAB	luxAB
M02	M02	M02
MABS	MABS	MABS
Mahdavi	Mahdavi	Mahdavi
MAI method	MAI method	method
main objective	main objective	objective
main requirements	main requirement	requirement
MAI principle	MAI principle	principle
maize	maize	maize
major assays	major assay	assay
major component of grain dormancy	major component of grain dormancy	component
major constraint	major constraint	constraint
major determinants of end	major determinant of end	determinant
major disease of wheat	major disease of wheat	disease
major dominant effect	major dominant effect	effect
major dominant effect of SKr	major dominant effect of SKr	effect
major effect of SKr	major effect of SKr	effect
major gene Kr1	major gene Kr1	Kr1
major gene Kr1 oil 5BL	major gene Kr1 oil 5BL	5BL
major genes	major gene	gene
Major genes	major gene	gene
major genetic locus	major genetic locus	locus
major impact	major impact	impact
majority	majority	majority
major leaf rust resistance genes	major leaf rust resistance gene	gene
major means	major means	means
major QTL	major QTL	QTL
major QTLs	major QTLs	QTLs
major quantitative trait locus	major quantitative trait locus	locus
major role of Lr34	major role of Lr34	role
major source of resistance to Fusarium head blight	major source of resistance to Fusarium head blight	source
major storage proteins of wheat	major storage protein of wheat	protein
major task	major task	task
major temperate small grain cereals	major temperate small grain cereal	cereal
major wheat disease	major wheat disease	disease
male gametes	male gamete	gamete
male parent	male parent	parent
male preferential transmission	male preferential transmission	transmission
male recurrent parent	male recurrent parent	parent
male sterile Ms2 gene	male sterile Ms2 gene	gene
male sterile wheat	male sterile wheat	wheat
male sterility	male sterility	sterility
male sterility Ms2 gene	male sterility Ms2 gene	gene
mannose	mannose	mannose
Map coverage	map coverage	coverage
MAPMAKER	MAPMAKER	MAPMAKER
Map orders	map order	order
mapped ESTs	map ESTs	ESTs
mapped markers	map marker	marker
mapped QTLs	map QTLs	QTLs
mapping attempts	mapping attempt	attempt
Mapping	mapping	mapping
mapping of a large number of genes	mapping of a large number of gene	mapping
mapping population of cross PBW343	mapping population of cross PBW343	population
mapping populations	mapping population	population
mapping projects	mapping project	project
mapping studies	mapping study	study
Marchal	Marchal	Marchal
marked different resistance genes	mark different resistance gene	gene
marker alleles	marker allele	allele
marker assisted detection of heterozygotes	marker assist detection of heterozygote	detection
Marker assisted evaluation of Fusarium head blight resistant wheat germplasm	Marker assist evaluation of Fusarium head blight resistant wheat germplasm	evaluation
Marker assisted gene	Marker assist gene	gene
marker assisted introduction	marker assist introduction	introduction
Marker Assisted Selection	Marker Assisted Selection	Selection
Marker assisted selection of an alien transfer	Marker assist selection of an alien transfer	selection
Marker assisted selection of Fusarium head blight resistance genes	Marker assist selection of Fusarium head blight resistance gene	selection
marker assisted selection of yellow rust resistances genotypes	marker assist selection of yellow rust resistance genotype	selection
marker class	marker class	class
marker deployment costs	marker deployment cost	cost
Marker Development	Marker Development	Development
marker DNA sequences	marker DNA sequence	sequence
marker free transgenic wheat	marker free transgenic wheat	wheat
marker genotypes	marker genotype	genotype
Marker implementation	marker implementation	implementation
marker locus Xwmc333	marker locus Xwmc333	Xwmc333
MARKER	marker	marker
marker of bad baking quality	marker of bad bake quality	marker
marker of poor baking quality	marker of poor bake quality	marker
marker platforms	marker platform	platform
marker positive plants	marker positive plants	plants
marker protein	marker protein	protein
Marker proteins	marker protein	protein
marker S336(775)	marker S336(775)	S336(775)
marker S73(728)	marker S73(728)	S73(728)
marker SCS1302(607)	marker SCS1302(607)	SCS1302(607)
marker SCS5(550)	marker SCS5(550)	SCS5(550)
Marker SCS5(550)	Marker SCS5(550)	SCS5(550)
marker selection	marker selection	selection
Marker selection	marker selection	selection
Markers	marker	marker
markers of impurities of foreign genotypes	marker of impurity of foreign genotype	marker
markers (r(2))	marker (r(2))	(r(2))
markers showed linkage	marker show linkage	linkage
marker systems	marker system	system
marker technology	marker technology	technology
marker validation	marker validation	validation
marker Xgwm	marker Xgwm	Xgwm
marker YP7A	marker YP7A	YP7A
market classes	market class	class
Martonvasar gene pool	Martonvasar gene pool	pool
Martonvasar wheat varieties	Martonvasar wheat variety	variety
Martonvasar winter wheat cultivars	Martonvasar winter wheat cultivar	cultivar
MAS lines	MAS line	line
MAS	ma	ma
MAS	Mas	Mas
MAS	MAS	MAS
MAS programs	MAS program	program
material	material	material
materials	material	material
mature amino acid sequence	mature amino acid sequence	sequence
mature seed	mature seed	seed
MAV	MAV	MAV
maximum genome coverage	maximum genome coverage	coverage
maximum level expression of TaGSK1 gene	maximum level expression of TaGSK1 gene	expression
Mayetiola destructor (Say)	Mayetiola_destructor (Say)	(Say)
Mb	Mb	Mb
McVey	McVey	McVey
Me12	Me12	Me12
Me8	Me8	Me8
Mean GPC	Mean GPC	GPC
mean mildew severities	mean mildew severity	severity
mean of multiple FHB ratings	mean of multiple FHB rating	mean
Measurement of ALS activity	measurement of ALS activity	measurement
mechanism	mechanism	mechanism
mechanism of resistance to wheat	mechanism of resistance to wheat	mechanism
medium bread	medium bread	bread
medium	medium	medium
medium resistant to yellow rust	medium resistant to yellow rust	resistant
meiosis	meiosis	meiosis
Meloidogyne naasi	Meloidogyne_naasi	Meloidogyne_naasi
mentioned genes	mention gene	gene
mer sequence	mer sequence	sequence
metabolic advantage	metabolic advantage	advantage
metaphase I of pollen mother cells	metaphase I of pollen mother cell	I
methionine	methionine	methionine
method of electrophoretic detection of polymorphism of prolamin proteins	method of electrophoretic detection of polymorphism of prolamin protein	method
Methods	method	method
Mex	Mex	Mex
mg of starch	mg of starch	mg
Mianyang	Mianyang	Mianyang
Microdochium nivale	Microdochium_nivale	Microdochium_nivale
micro	Micro	Micro
microprojectile bombardment	microprojectile bombardment	bombardment
microsatellite amplification	microsatellite amplification	amplification
microsatellite clones	microsatellite clone	clone
microsatellite marker alleles	microsatellite marker allele	allele
microsatellite marker analysis	microsatellite marker analysis	analysis
Microsatellite marker	Microsatellite marker	marker
Microsatellite Marker	Microsatellite Marker	Marker
microsatellite markers	microsatellite marker	marker
Microsatellite markers	Microsatellite marker	marker
microsatellite marker systems	microsatellite marker system	system
microsatellite primer pairs	microsatellite prime pair	pair
microsatellite primers	microsatellite primer	primer
microscopic analyses	microscopic analysis	analysis
microsynteny	microsynteny	microsynteny
milled flour samples	milled flour sample	sample
miniature inverted transposable element	miniature inverted transposable element	element
minimal gene cassettes	minimal gene cassette	cassette
Minimum expression	minimum expression	expression
minisequencing reaction	minisequencing reaction	reaction
Minnesota	Minnesota	Minnesota
minor differences	minor difference	difference
minor QTL	minor QTL	QTL
mismatched primers	mismatch primer	primer
MITE insertion site	MITE insertion site	site
mn1	mn1	mn1
MN environment	MN environment	environment
MN	MN	MN
model assumptions	model assumption	assumption
moderate area	moderate area	area
moderate effects	moderate effect	effect
moderate levels of adult plant	moderate level of adult plant	level
modern hard red winter wheat	modern hard red winter wheat	wheat
modern Iranian bread wheat	modern Iranian bread_wheat	bread_wheat
modern plant breeders	modern plant breeder	breeder
Modified pedigree	modified pedigree	pedigree
molecular analysis	molecular analysis	analysis
molecular approaches	molecular approach	approach
molecular assay	molecular assay	assay
molecular breeding	molecular breeding	breeding
Molecular characterization	molecular characterization	characterization
Molecular characterization of a diagnostic DNA marker	molecular characterization of a diagnostic DNA marker	characterization
molecular characterizations of some wheat varieties	molecular characterization of some wheat variety	characterization
molecular cloning	molecular clon	clon
molecular DNA marker level	molecular DNA marker level	level
molecular evaluation of bread	molecular evaluation of bread	evaluation
Molecular mapping	molecular mapping	mapping
molecular mapping of fertility restorer gene	molecular mapping of fertility restorer gene	mapping
molecular mapping of Fusarium head blight	molecular mapping of Fusarium head blight	mapping
Molecular mapping of Lr39	molecular mapping of Lr39	mapping
molecular marker analysis	molecular marker analysis	analysis
molecular marker analysis of Karnal bunt resistant	molecular marker analysis of Karnal_bunt resistant	analysis
Molecular marker analysis of kernel size	molecular marker analysis of kernel size	analysis
Molecular marker analysis of protein content	molecular marker analysis of protein content	analysis
MOLECULAR MARKER ASSISTED SELECTION	molecular Marker ASSISTED SELECTION	SELECTION
molecular marker assisted selection	molecular marker assist selection	selection
Molecular marker assisted selection	molecular marker assist selection	selection
molecular marker csLV34	molecular marker csLV34	csLV34
molecular marker detection	molecular marker detection	detection
molecular marker locus Xwmc333	molecular marker locus Xwmc333	Xwmc333
Molecular marker mapping of leaf rust resistance gene Lr46	molecular marker mapping of leaf rust resistance gene Lr46	mapping
Molecular marker	molecular marker	marker
MOLECULAR MARKER	molecular Marker	Marker
molecular marker MS2	molecular marker MS2	MS2
molecular marker SCAR SC	molecular marker SCAR SC	SC
Molecular markers	molecular marker	marker
molecular marker(s)	molecular marker(s)	marker(s)
molecular markers Xbarc170	molecular marker Xbarc170	Xbarc170
molecular marker technology	molecular marker technology	technology
Molecular marker technology	molecular marker technology	technology
MOLECULAR	MOLECULAR	MOLECULAR
molecular polymorphism	molecular polymorphism	polymorphism
molecular screening	molecular screening	screening
molecular test	molecular test	test
monoclonal antibody	monoclonal antibody	antibody
MONOCLONAL	Monoclonal	Monoclonal
monocots	monocots	monocots
Monogenically	Monogenically	Monogenically
monomorphic expression	monomorphic expression	expression
monosomic alien substitution lines	monosomic alien substitution line	line
monosomic analysis	monosomic analysis	analysis
monosomic lines of 'Saratovskaya 29'	monosomic line of 'Saratovskaya 29'	line
morphological selection of plants	morphological selection of plants	selection
morphological traits	morphological trait	trait
morphologic traits	morphologic trait	trait
morphopathological characterization	morphopathological characterization	characterization
motif	motif	motif
Ms2 genes	Ms2 gene	gene
MS2	MS2	MS2
MseI	MseI	MseI
mu g of teliospores	mu g of teliospore	g
mu L PCR reaction mixture	mu L PCR reaction mixture	mixture
multicolour	multicolour	multicolour
multi	multi	multi
multi	Multi	Multi
multiple genes	multiple gene	gene
multiplex PCR	multiplex PCR	PCR
multiplex PCRs	multiplex PCRs	PCRs
multiplication	multiplication	multiplication
Multisite insertion	multisite insertion	insertion
multivalents	multivalents	multivalents
mu mol	mu mol	mol
mutant allele	mutant allele	allele
mutant line	mutant line	line
mutant ph1b	mutant ph1b	ph1b
mutant waxy wheat	mutant waxy wheat	wheat
mutated rice acetolactate synthase gene	mutate rice acetolactate synthase gene	gene
'Mv Emma'*3	'Mv Emma'*3	Emma'*3
MWH 101 showed significant difference	MWH 101 show significant difference	difference
MYA	MYA	MYA
mycotoxin contamination	mycotoxin contamination	contamination
named SC	name SC	SC
named Xgwm44139 bp	name Xgwm44139 bp	bp
Nanda2419	Nanda2419	Nanda2419
narrower leaves	narrow leave	leave
national approach	national approach	approach
National Wheat Rust Control Program	National Wheat Rust Control Program	Program
natural disease pressure	natural disease pressure	pressure
natural field conditions	natural field condition	condition
natural population	natural population	population
nau	nau	nau
ncbi	ncbi	ncbi
ND	ND	ND
ndsu	ndsu	ndsu
near future	near future	future
near Isogenic line	near Isogenic line	line
near isogenic lines	near isogenic line	line
near iso	near iso	iso
necessity	necessity	necessity
need	need	need
'Neepawa'	'Neepawa'	'Neepawa'
negative selection	negative selection	selection
Neixing	Neixing	Neixing
ng of DNA	ng of DNA	ng
Nicknejad	Nicknejad	Nicknejad
nih	nih	nih
NIL pair	Nil pair	pair
NIL pairs	Nil pair	pair
NIL TcLr19	Nil TcLr19	TcLr19
NJ tree	NJ tree	tree
nlm	nlm	nlm
nontarget fragments	nontarget fragment	fragment
noodle quality improvement	noodle quality improvement	improvement
normal 1B	normal 1B	1B
normal wheat lines	normal wheat line	line
North American spring wheat line	North American spring wheat line	line
North Dakota	North Dakota	Dakota
Northern Great Plains	Northern Great Plains	Plains
Norwich	Norwich	Norwich
novel enzyme	novel enzyme	enzyme
novel FHB resistance genes	novel FHB resistance gene	gene
novel sources of crown rot resistance	novel source of crown rot resistance	source
novel sources of resistance	novel source of resistance	source
novel STS marker	novel STS marker	marker
Novi Sad Core Collection	Novi Sad Core collection	collection
NS	NS	NS
nt	nt	nt
NT	NT	NT
nucleotide sequence data of a rye repetitive sequence	nucleotide sequence datum of a rye repetitive sequence	datum
nucleotide substitution rate	nucleotide substitution rate	rate
nucleotide substitution rates	nucleotide substitution rate	rate
null allele of Xgwm469	null allele of Xgwm469	allele
null allelle of Xgwm 160 marker	null allelle of Xgwm 160 marker	marker
nulli	nulli	nulli
number of anchor loci	number of anchor locus	number
number of Hungarian genotypes	number of Hungarian genotype	number
number of infected plants	number of infected plants	number
number of markers	number of marker	number
number of primers	number of primer	number
number of publications	number of publication	number
number of QTL	number of QTL	number
number of spikes	number of spike	number
number of total regenerants	number of total regenerant	number
number of useful marker	number of useful marker	number
numerous breeding programs	numerous breeding program	program
numerous sectors	numerous sector	sector
numerous studies	numerous study	study
oat genetics research	oat genetics research	research
oat	oat	oat
Oat	Oat	Oat
objective method	objective method	method
objective of this investigation	objective of this investigation	objective
objective of this study	objective of this study	objective
objective of this Study	objective of this study	objective
objective of this work	objective of this work	objective
objectives of this study	objective of this study	objective
obligate biotrophic fungus Blumeria graminis	obligate biotrophic fungus Blumeria_graminis	Blumeria_graminis
observation	observation	observation
obtained data	obtain datum	datum
obtained lines	obtain line	line
occurrence	occurrence	occurrence
occurrence of friabilin	occurrence of friabilin	occurrence
octoploid X Tritordeum	octoploid X_Tritordeum	X_Tritordeum
OD values of infected lines	OD value of infected line	value
Ogle1040	Ogle1040	Ogle1040
Ogle157	Ogle157	Ogle157
old callus	old callus	callus
old E	old E	E
One Agropyron elongatum derived dominant seedling resistance gene	One Agropyron_elongatum derive dominant seedling resistance gene	gene
onset of epidemics	onset of epidemic	onset
OPA4(800))	OPA4(800))	OPA4(800))
OPH4(1400)	OPH4(1400)	OPH4(1400)
o plants	o plants	plants
OPM5(870)	OPM5(870)	OPM5(870)
OPO10(870)	OPO10(870)	OPO10(870)
opportunity	opportunity	opportunity
optimal strategy	optimal strategy	strategy
OPV14(1200)	OPV14(1200)	OPV14(1200)
OpY16	OpY16	OpY16
ORF	Orf	Orf
organization of plant genomes	organization of plant genome	organization
original F	original F	F
original report	original report	report
original T. aestivum	original T._aestivum	T._aestivum
orthologous relationships	orthologous relationship	relationship
orthophosphate dikinase	orthophosphate dikinase	dikinase
Oryza longistaminata	Oryza_longistaminata	Oryza_longistaminata
Oryza sativa	Oryza_sativa	Oryza_sativa
OT	ot	ot
OT population	OT population	population
overall transformation efficiency	overall transformation efficiency	efficiency
overview	overview	overview
own strengths	own strength	strength
P961341 showed good fits	P961341 show good fit	fit
pace	pace	pace
PAGE ISTA	Page ISTA	ISTA
PAGE of proteins	page of protein	page
PAGE of seed proteins	Page of seed protein	Page
PAGE results	Page result	result
pair of acrocentric chromosomes	pair of acrocentric chromosome	pair
pair of chromosomes	pair of chromosome	pair
pair of specific primers	pair of specific primer	pair
pair of STS	pair of STS	pair
pairs of oligonucleotide primers	pair of oligonucleotide primer	pair
pairs of primers	pair of primer	pair
pairs of SSR primers	pair of SSR primer	pair
Pakistan	Pakistan	Pakistan
panel of cultivars	panel of cultivar	panel
panel of genotypes	panel of genotype	panel
Pane	Pane	Pane
parallel phytotron study	parallel phytotron study	study
parental forms	parental form	form
parental genotypes	parental genotype	genotype
Parental genotypes	parental genotype	genotype
parental line MWH	parental line MWH	MWH
parental line	parental line	line
parental lines	parental line	line
parent development	parent development	development
parent lines	parent line	line
parent organism	parent organism	organism
partial amphiploid line TAF46	partial amphiploid line TAF46	TAF46
partial crown rot resistance	partial crown rot resistance	resistance
partial seedling resistance to crown rot disease	partial seedling resistance to crown rot disease	disease
partial seedling resistance to crown rot	partial seedling resistance to crown rot	resistance
partial waxy wheat lines	partial waxy wheat line	line
particle bombardment	particle bombardment	bombardment
particular DNA segments	particular DNA segment	segment
particular gene	particular gene	gene
part segments of 1RS	part segment of 1RS	segment
pasta	pasta	pasta
past decade	past decade	decade
past	past	past
pathogenicity	pathogenicity	pathogenicity
pathogen interaction test response of these lines	pathogen interaction test response of these line	response
pathogen resistance	pathogen resistance	resistance
pathotype	pathotype	pathotype
pathotypes of CCN	pathotypes of CCN	pathotypes
pathotypes of leaf rust	pathotypes of leaf rust	pathotypes
patterns	pattern	pattern
Pavon 1B)'	Pavon 1B)'	1B)'
'Pavon 76' population	'Pavon 76' population	population
PAV	PAV	PAV
PBG	PBG	PBG
PBW	PBW	PBW
PCO	PCO	PCO
PCR amplifications	PCR amplification	amplification
PCR analysis	PCR analysis	analysis
PCR based markers	PCR base marker	marker
PCR conditions	PCR condition	condition
PCR detection assays	PCR detection assay	assay
PCR fragments	PCR fragment	fragment
PCR marker system	PCR marker system	system
PCR marker test	PCR marker test	test
PCR molecular markers	PCR molecular marker	marker
PCR primers differentiated 'Chinese Spring'	PCR primer differentiate 'Chinese Spring'	Spring'
PCR primer set	PCR primer set	set
PCR primers	PCR primer	primer
PCR product of S1384	PCR product of S1384	product
PCR products of individual plant DNA	PCR product of individual plant DNA	product
PCR protocols	PCR protocol	protocol
PCR results	PCR result	result
PCR system	PCR system	system
PCR technique	PCR technique	technique
PCR technology	PCR technology	technology
PCR test	PCR test	test
PCR zygosity test	PCR zygosity test	test
Pearson	Pearson	Pearson
pedigrees	pedigree	pedigree
peer reviewed articles QTL	peer review article QTL	QTL
Pegaso	Pegaso	Pegaso
perceived high relative cost of MAS	perceive high relative cost of ma	cost
percentage of infected spikelets	percentage of infected spikelet	percentage
percent	percent	percent
performance liquid chromatography	performance liquid chromatography	chromatography
persistence of currently used marker genes	persistence of currently use marker gene	persistence
perspective	perspective	perspective
perspectives	perspective	perspective
pest resistance	pest resistance	resistance
pests	pest	pest
'Petkus' rye	'Petkus' rye	rye
Petkus rye	Petkus rye	rye
P. graminis	P._graminis	P._graminis
ph1b genotypes	ph1b genotype	genotype
ph1b locus	ph1b locus	locus
Ph1 gene	Ph1 gene	gene
Ph1 genotype	Ph1 genotype	genotype
Ph1 locus	Ph1 locus	locus
Ph1	Ph1	Ph1
phase	phase	phase
phases	phase	phase
phenetic tree	phenetic tree	tree
phenotype	phenotype	phenotype
phenotypic alternative	phenotypic alternative	alternative
Phenotypic analysis	phenotypic analysis	analysis
phenotypic assessment	phenotypic assessment	assessment
phenotypic contribution	phenotypic contribution	contribution
phenotypic data	phenotypic datum	datum
phenotypic evaluation	phenotypic evaluation	evaluation
phenotypic GPC variation	phenotypic GPC variation	variation
phenotypic observation	phenotypic observation	observation
phenotypic variability	phenotypic variability	variability
phenotypic variance	phenotypic variance	variance
Phenotyping	Phenotyping	Phenotyping
phosphate isomerase isoenzymes	phosphate isomerase isoenzymes	isoenzymes
phosphate	phosphate	phosphate
Phosphomannose isomerase	Phosphomannose isomerase	isomerase
PHS QTL	PHS QTL	QTL
PHS resistance	PHS resistance	resistance
PHS susceptible cultivar	PHS susceptible cultivar	cultivar
PHS tolerance	PHS tolerance	tolerance
PHST	PHST	PHST
physical landmark	physical landmark	landmark
physical map of approx. 250 kb	physical map of approx. 250 kb	kb
Physical map	physical map	map
Physical mapping of a 7A	physical mapping of a 7A	mapping
physical maps	physical map	map
physical presence of an intact translocation	physical presence of an intact translocation	presence
Phytoene synthase	Phytoene synthase	synthase
PI178383	PI178383	PI178383
PIC value	PIC value	value
pigmented embryos	pigmented embryo	embryo
Pin genes	Pin gene	gene
pini	pini	pini
piruvate	piruvate	piruvate
Pishtaz	Pishtaz	Pishtaz
pIs	pi	pi
Pisum sativum	Pisum_sativum	Pisum_sativum
pitfalls	pitfall	pitfall
pivotal role	pivotal role	role
Pk54 marker	Pk54 marker	marker
Pk54	Pk54	Pk54
'Plabsim' computer simulations	'Plabsim' computer simulation	simulation
plant breeding	plant breeding	breeding
plant cells	plant cell	cell
plant chromosome	plant chromosome	chromosome
plant development traits	plant development trait	trait
planted management systems	plant management system	system
plant materials	plant material	material
plant nucleotide sequences	plant nucleotide sequence	sequence
plant parts	plant part	part
plant resistance genes	plant resistance gene	gene
Plants	Plants	Plants
plastocianin	plastocianin	plastocianin
plating	plating	plating
plots	plot	plot
Pm16	Pm16	Pm16
Pm17 locus of common wheat	Pm17 locus of common_wheat	locus
Pm18	Pm18	Pm18
Pm21 conferring resistance to powdery mildew	Pm21 confer resistance to powdery mildew	resistance
Pm21 genes	Pm21 gene	gene
Pm24 gene	Pm24 gene	gene
Pm24 locus	Pm24 locus	locus
Pm2	Pm2	Pm2
Pm3 allele	Pm3 allele	allele
Pm3a	Pm3a	Pm3a
Pm3b	Pm3b	Pm3b
Pm3d allele	Pm3d allele	allele
Pm3d	Pm3d	Pm3d
Pm3e	Pm3e	Pm3e
Pm3f	Pm3f	Pm3f
Pm3g allele	Pm3g allele	allele
Pm3g alleles	Pm3g allele	allele
Pm3g resistance allele	Pm3g resistance allele	allele
Pm3 resistance locus	Pm3 resistance locus	locus
Pm4a	Pm4a	Pm4a
Pm4b gene	Pm4b gene	gene
Pm4b	Pm4b	Pm4b
Pm8	Pm8	Pm8
pmi genes	pmi gene	gene
pmi marker gene	pmi marker gene	gene
pmi	pmi	pmi
pmi transgenes	pmi transgene	transgene
Pobeda	Pobeda	Pobeda
pollination	pollination	pollination
pollinators	pollinator	pollinator
pol	pol	pol
polyacrylamide gel electrophoresis	polyacrylamide gel electrophoresis	electrophoresis
